Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,22.89,23.34,22.81,22.91,21.93,9671100
2018-01-03,22.75,23.42,22.68,23.3,22.3,6306700
2018-01-04,23.37,23.6,23.27,23.45,22.45,5655100
2018-01-05,23.4,23.79,23.33,23.79,22.77,7321600
2018-01-08,23.75,24.18,23.49,23.9,22.88,6925200
2018-01-09,24.09,24.09,23.43,23.56,22.55,8800300
2018-01-10,23.35,23.5,23.19,23.35,22.35,5132800
2018-01-11,23.5,23.73,23.25,23.73,22.71,7065800
2018-01-12,23.64,23.7,23.33,23.61,22.6,5479300
2018-01-15,23.75,23.79,23.52,23.68,22.67,5783000
2018-01-16,23.7,23.89,23.59,23.84,22.82,5075700
2018-01-17,23.8,24.1,23.67,24.04,23.01,8903700
2018-01-18,23.94,24.35,23.9,24.32,23.28,8547500
2018-01-19,24.49,24.9,24.33,24.88,23.82,13933800
2018-01-22,24.88,24.97,24.39,24.75,23.69,8693200
2018-01-23,24.78,24.79,24.09,24.58,23.53,10015600
2018-01-24,24.7,25.88,24.55,25.87,24.76,16141400
2018-01-25,25.87,25.87,25.87,25.87,24.76,0
2018-01-26,26.06,27.05,25.52,26.35,25.22,19629300
2018-01-29,26.27,26.39,25.83,26.39,25.26,8878900
2018-01-30,26.17,26.37,25.82,26.2,25.08,10027900
2018-01-31,26.51,26.54,25.94,26.08,24.96,11000800
2018-02-01,26.1,26.4,25.87,26.27,25.15,13418300
2018-02-02,25.71,26.27,25.64,26.0,24.89,7177000
2018-02-05,25.64,25.81,24.91,24.91,23.84,12997300
2018-02-06,24.56,25.37,24.46,24.99,23.92,18436000
2018-02-07,25.17,25.34,24.67,24.67,23.61,9172600
2018-02-08,24.95,25.16,24.06,24.46,23.41,10739600
2018-02-09,24.39,24.45,23.32,23.99,22.96,13165800
2018-02-14,24.51,24.82,23.96,24.44,23.39,13570700
2018-02-15,24.6,25.21,24.5,25.11,24.04,13989900
2018-02-16,25.12,25.54,24.86,25.54,24.45,8967800
2018-02-19,25.59,25.8,25.3,25.5,24.41,5153800
2018-02-20,25.29,25.92,25.01,25.85,24.74,12545300
2018-02-21,25.85,27.25,25.8,26.66,25.52,24843100
2018-02-22,26.7,27.27,26.08,26.31,25.18,20635700
2018-02-23,26.45,27.01,26.4,27.01,25.85,10647500
2018-02-26,27.14,27.42,27.03,27.21,26.05,8681200
2018-02-27,27.15,27.15,26.31,26.5,25.37,8843700
2018-02-28,26.44,26.45,25.62,25.62,24.52,14152600
2018-03-01,25.56,26.0,25.2,25.59,24.5,7491300
2018-03-02,25.4,25.96,25.04,25.88,24.77,10853400
2018-03-05,25.8,26.37,25.72,26.2,25.08,6991100
2018-03-06,26.4,26.64,26.2,26.25,25.13,7053500
2018-03-07,26.26,26.26,25.64,26.15,25.03,7302700
2018-03-08,26.05,26.18,25.53,26.09,24.97,9305200
2018-03-09,26.15,27.1,25.97,27.0,25.84,6558700
2018-03-12,27.01,27.32,26.97,26.97,25.82,5688700
2018-03-13,27.1,27.21,26.65,26.91,25.76,4693500
2018-03-14,26.92,27.13,26.24,26.44,25.31,6380200
2018-03-15,26.43,26.43,25.82,26.0,24.89,8031100
2018-03-16,26.02,26.17,25.75,25.75,24.65,10698500
2018-03-19,25.55,25.83,25.4,25.56,24.47,7840600
2018-03-20,25.63,26.08,25.6,26.06,24.95,5479100
2018-03-21,26.1,26.43,25.6,26.22,25.1,6146900
2018-03-22,26.28,26.49,25.7,25.98,24.87,5902700
2018-03-23,25.75,26.02,25.42,25.43,24.34,7084500
2018-03-26,25.8,26.1,25.25,25.66,24.56,5045700
2018-03-27,25.79,25.9,25.45,25.59,24.5,3669400
2018-03-28,25.3,26.3,25.16,26.1,24.98,8318900
2018-03-29,26.21,26.85,25.99,26.69,25.55,7484400
2018-04-02,26.35,26.7,26.03,26.49,25.36,5636000
2018-04-03,26.58,26.99,26.07,26.45,25.32,8603800
2018-04-04,25.84,26.25,25.56,26.17,25.05,6321200
2018-04-05,26.8,27.15,26.47,26.77,25.62,8435800
2018-04-06,26.67,26.87,26.11,26.81,25.66,8216900
2018-04-09,26.98,26.98,25.97,26.2,25.08,6407900
2018-04-10,26.3,26.4,25.6,26.28,25.16,6916400
2018-04-11,26.22,26.59,25.9,26.55,25.41,5814100
2018-04-12,26.5,27.09,26.42,26.89,25.74,7870100
2018-04-13,26.7,26.82,26.12,26.42,25.29,10564100
2018-04-16,26.52,26.52,25.34,25.38,24.29,7722300
2018-04-17,25.45,25.85,24.9,25.67,24.57,9987100
2018-04-18,25.89,26.67,25.61,26.25,25.13,12644200
2018-04-19,26.17,26.31,25.75,26.06,24.95,5137400
2018-04-20,25.8,25.95,25.57,25.7,24.6,5662400
2018-04-23,25.55,25.74,25.34,25.74,24.64,6324500
2018-04-24,25.87,25.95,25.06,25.3,24.31,5668100
2018-04-25,24.96,25.26,24.75,25.06,24.08,7262400
2018-04-26,25.1,25.73,25.04,25.67,24.67,3509500
2018-04-27,25.94,25.99,25.61,25.83,24.82,3872500
2018-04-30,26.0,26.0,25.22,25.3,24.31,6565100
2018-05-02,25.06,25.1,24.46,24.61,23.65,13922900
2018-05-03,24.4,24.69,24.12,24.16,23.21,12171600
2018-05-04,24.1,24.44,23.71,24.04,23.1,9132300
2018-05-07,24.06,24.27,23.77,23.98,23.04,4326900
2018-05-08,24.0,24.32,23.79,23.89,22.96,6093300
2018-05-09,23.91,24.15,23.61,24.06,23.12,7577300
2018-05-10,24.21,24.72,24.07,24.68,23.71,12571500
2018-05-11,24.52,24.73,23.51,23.6,22.68,14269700
2018-05-14,23.67,23.69,22.78,23.29,22.38,15109600
2018-05-15,23.0,23.11,22.51,22.8,21.91,15131100
2018-05-16,22.64,23.54,22.64,23.08,22.18,7748500
2018-05-17,22.76,23.03,21.82,22.11,21.24,18823100
2018-05-18,21.83,22.28,21.46,22.28,21.41,14130400
2018-05-21,22.46,22.5,22.02,22.15,21.28,8797800
2018-05-22,22.37,23.48,22.28,23.35,22.44,14003500
2018-05-23,22.95,23.12,22.1,22.1,21.24,8756900
2018-05-24,21.8,22.02,21.28,21.6,20.75,17466600
2018-05-25,21.67,21.86,20.85,21.02,20.2,20785900
2018-05-28,20.81,21.0,20.3,20.53,19.73,10269300
2018-05-29,21.1,21.74,20.55,20.73,19.92,16130800
2018-05-30,20.51,21.9,20.5,21.77,20.92,21420000
2018-06-01,21.98,22.63,21.51,22.25,21.38,19479800
2018-06-04,22.49,23.07,22.32,22.82,21.93,17956000
2018-06-05,22.5,22.83,21.52,22.12,21.25,16205300
2018-06-06,21.83,22.08,21.13,21.41,20.57,11514600
2018-06-07,20.62,21.1,19.58,20.0,19.22,37986900
2018-06-08,19.98,21.26,19.54,20.84,20.02,23689500
2018-06-11,21.1,21.33,20.05,20.42,19.62,7317000
2018-06-12,20.69,21.24,20.5,21.0,20.18,15447000
2018-06-13,21.0,21.04,20.0,20.67,19.86,13632200
2018-06-14,20.75,20.91,20.03,20.15,19.36,16545700
2018-06-15,20.0,20.09,19.31,19.79,19.02,23882100
2018-06-18,19.5,19.67,19.1,19.21,18.46,10481400
2018-06-19,18.95,20.23,18.92,19.93,19.15,25299000
2018-06-20,20.1,20.34,19.6,19.78,19.01,8787100
2018-06-21,19.56,19.87,19.43,19.57,18.8,8698500
2018-06-22,19.65,19.98,19.49,19.97,19.19,8532300
2018-06-25,20.0,21.04,19.8,20.69,19.88,12265100
2018-06-26,20.82,20.95,20.42,20.64,19.83,11463100
2018-06-27,20.45,20.62,20.08,20.2,19.41,8653800
2018-06-28,20.1,20.56,19.81,20.52,19.94,7700800
2018-06-29,20.84,20.88,20.4,20.45,19.87,9705700
2018-07-02,20.45,20.7,20.11,20.64,20.05,3607300
2018-07-03,20.85,21.38,20.45,20.89,20.29,6284000
2018-07-04,20.8,21.15,20.57,21.14,20.54,2737100
2018-07-05,20.95,21.18,20.64,21.01,20.41,6538100
2018-07-06,21.05,21.97,21.0,21.75,21.13,7863800
2018-07-10,21.99,22.59,21.87,22.37,21.73,33969600
2018-07-11,22.2,22.65,22.2,22.38,21.74,11793700
2018-07-12,22.49,23.14,22.45,23.06,22.4,9492000
2018-07-13,23.18,23.82,23.07,23.82,23.14,10256100
2018-07-16,23.8,23.8,23.1,23.5,22.83,13965200
2018-07-17,23.4,24.27,23.33,23.94,23.26,13511700
2018-07-18,23.71,24.0,23.09,23.22,22.56,9695300
2018-07-19,23.0,23.1,22.53,23.1,22.44,17248100
2018-07-20,23.91,24.0,23.1,23.25,22.59,11490000
2018-07-23,23.04,23.14,22.78,22.99,22.34,8259000
2018-07-24,23.24,23.45,23.06,23.24,22.58,5925700
2018-07-25,23.31,24.21,23.29,23.78,23.1,9185800
2018-07-26,23.55,24.08,23.27,23.55,22.88,5288100
2018-07-27,23.69,23.88,23.41,23.65,22.98,3334500
2018-07-30,23.88,23.98,23.33,23.75,23.07,5467500
2018-07-31,23.5,23.79,23.37,23.79,23.11,7159500
2018-08-01,23.79,23.96,23.48,23.67,23.0,6866200
2018-08-02,23.5,24.47,23.36,24.1,23.41,7123000
2018-08-03,24.3,25.07,24.14,24.95,24.24,11601500
2018-08-06,25.0,25.1,24.62,24.72,24.02,6012700
2018-08-07,24.9,24.94,23.85,24.0,23.32,9300000
2018-08-08,23.88,24.29,23.12,23.43,22.76,16325600
2018-08-09,23.34,23.54,22.8,23.26,22.6,15440300
2018-08-10,23.6,23.6,22.5,22.78,22.13,12491900
2018-08-13,22.5,22.98,22.4,22.9,22.25,11733600
2018-08-14,23.28,23.39,22.87,23.33,22.67,5810800
2018-08-15,22.91,23.35,22.71,23.19,22.53,13092900
2018-08-16,23.2,23.42,22.65,23.22,22.56,5157600
2018-08-17,22.79,23.09,22.5,22.55,21.91,6264700
2018-08-20,22.26,22.73,22.01,22.59,21.95,9478100
2018-08-21,22.31,22.46,22.01,22.2,21.57,9442600
2018-08-22,21.87,22.43,21.86,22.43,21.79,10643000
2018-08-23,22.43,22.49,21.09,21.13,20.53,8847300
2018-08-24,21.62,21.78,20.82,21.12,20.52,8926100
2018-08-27,21.22,22.01,21.21,21.75,21.13,4617200
2018-08-28,21.59,21.81,21.42,21.7,21.08,4230000
2018-08-29,21.73,22.47,21.71,22.25,21.62,6279600
2018-08-30,22.09,22.1,21.51,21.67,21.05,6061900
2018-08-31,21.7,22.08,21.31,21.76,21.14,8053900
2018-09-03,21.41,21.58,21.17,21.32,20.71,3269400
2018-09-04,21.2,21.37,20.85,20.91,20.31,4256800
2018-09-05,20.88,21.95,20.86,21.82,21.2,8125000
2018-09-06,21.96,22.14,21.27,21.84,21.22,8950600
2018-09-10,22.29,22.4,21.69,21.88,21.26,6465300
2018-09-11,21.37,21.37,20.67,21.06,20.46,10759200
2018-09-12,21.23,21.4,20.86,21.2,20.6,8459300
2018-09-13,21.16,21.4,21.0,21.2,20.6,8457600
2018-09-14,21.12,21.82,21.12,21.63,21.01,9885100
2018-09-17,21.49,22.17,21.49,22.12,21.49,5576400
2018-09-18,22.18,22.42,21.96,22.2,21.57,7387900
2018-09-19,21.97,22.51,21.95,22.34,21.7,5198100
2018-09-20,22.52,22.75,22.38,22.67,22.02,8523900
2018-09-21,22.8,23.39,22.65,23.1,22.44,16662400
2018-09-24,22.8,22.83,22.13,22.78,22.3,10053500
2018-09-25,22.29,22.69,22.17,22.48,22.01,10396400
2018-09-26,22.69,23.12,22.47,22.6,22.12,6476000
2018-09-27,22.65,23.61,22.65,23.37,22.88,14139700
2018-09-28,22.93,23.54,22.82,23.4,22.91,8730200
2018-10-01,23.4,23.43,22.6,22.95,22.47,8237100
2018-10-02,23.73,24.4,23.46,23.9,23.4,12868800
2018-10-03,25.0,25.45,24.16,24.27,23.76,12772600
2018-10-04,24.15,24.49,23.73,24.47,23.96,8821900
2018-10-05,24.7,24.9,23.85,24.25,23.74,9013200
2018-10-08,26.4,26.73,24.6,24.7,24.18,36977600
2018-10-09,24.73,25.47,24.43,25.1,24.57,12963900
2018-10-10,24.71,25.28,24.6,24.8,24.28,9066300
2018-10-11,25.0,25.0,23.75,23.82,23.32,17164900
2018-10-15,24.35,24.52,23.88,24.11,23.6,9686400
2018-10-16,24.49,25.14,24.46,25.0,24.47,10489600
2018-10-17,24.8,25.3,24.8,25.3,24.77,12820400
2018-10-18,25.07,25.19,24.27,24.27,23.76,15195600
2018-10-19,24.65,24.77,23.86,24.05,23.54,7909300
2018-10-22,24.25,24.95,24.18,24.6,24.08,7456800
2018-10-23,24.17,25.12,24.07,25.0,24.47,7370200
2018-10-24,25.01,25.05,24.4,24.57,24.05,6291900
2018-10-25,24.74,25.19,24.47,24.5,23.98,13510300
2018-10-26,24.85,25.8,24.67,25.38,24.85,13875200
2018-10-29,25.73,26.12,24.65,25.1,24.57,29895000
2018-10-30,25.58,26.5,25.4,26.4,25.84,21612900
2018-10-31,26.85,26.88,26.2,26.54,25.98,13607000
2018-11-01,26.75,28.1,26.34,27.44,26.86,27018800
2018-11-05,27.3,27.83,27.04,27.25,26.68,9921900
2018-11-06,27.0,27.19,26.65,26.86,26.3,8646600
2018-11-07,27.2,27.27,25.81,25.95,25.4,10961600
2018-11-08,26.1,26.33,25.42,25.55,25.01,10961200
2018-11-09,25.41,26.2,25.32,25.69,25.15,10782000
2018-11-12,25.57,25.99,25.02,25.89,25.35,6634700
2018-11-13,25.85,26.21,25.44,25.75,25.21,11485900
2018-11-14,25.58,26.1,25.48,26.0,25.45,8507600
2018-11-16,26.1,27.29,25.74,27.29,26.72,10810800
2018-11-19,27.0,27.13,26.22,26.26,25.71,6277100
2018-11-21,25.99,26.65,25.72,26.65,26.09,10054900
2018-11-22,26.7,26.7,26.31,26.59,26.03,2791800
2018-11-23,26.59,26.59,25.95,26.4,25.84,5486000
2018-11-26,26.5,26.93,26.0,26.39,25.84,10725800
2018-11-27,26.4,28.06,26.4,28.06,27.47,12091600
2018-11-28,27.91,28.47,27.41,28.2,27.61,9710000
2018-11-29,27.79,28.9,27.72,28.65,28.05,6110000
2018-11-30,28.47,28.77,28.08,28.2,27.61,7558400
2018-12-03,28.59,28.8,27.82,28.15,27.56,11299000
2018-12-04,28.24,28.58,27.64,27.9,27.31,12266600
2018-12-05,28.06,28.41,27.71,28.21,27.62,4242700
2018-12-06,27.69,28.71,27.55,28.59,27.99,11877800
2018-12-07,28.44,29.2,28.29,28.5,27.9,11166100
2018-12-10,28.38,28.66,27.51,27.51,26.93,7038800
2018-12-11,27.77,28.26,27.31,27.59,27.01,9025200
2018-12-12,27.97,28.49,27.8,28.15,27.56,9484400
2018-12-13,28.38,28.38,27.7,27.7,27.12,8993800
2018-12-14,27.7,27.87,27.0,27.35,26.77,6934500
2018-12-17,27.41,27.46,26.51,26.8,26.24,14888400
2018-12-18,27.0,27.27,26.65,26.65,26.09,9016300
2018-12-19,26.75,27.14,26.16,26.16,25.61,11797500
2018-12-20,26.35,26.84,25.82,26.1,25.55,13723600
2018-12-21,26.1,27.04,25.88,26.74,26.18,22089300
2018-12-26,26.26,26.47,26.02,26.05,25.7,8092400
2018-12-27,26.01,26.31,25.62,26.16,25.81,9611800
2018-12-28,26.3,27.1,26.29,26.81,26.45,12278200
2019-01-02,26.85,27.91,26.68,27.79,27.42,24615000
2019-01-03,27.41,29.12,27.4,29.0,28.61,16070400
2019-01-04,28.68,29.26,27.84,27.95,27.58,21778200
2019-01-07,28.15,28.15,27.31,27.8,27.43,11521000
2019-01-08,27.96,28.2,27.55,27.88,27.51,11364100
2019-01-09,28.0,28.4,27.71,28.01,27.63,14642600
2019-01-10,28.05,28.38,27.8,28.27,27.89,12487800
